媒体名称,备注,所属表名,所属列名,是否官媒,判断理由,提取的主管单位(隐式)
中国妇女报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,应用程序,是,✅ 特殊豁免: 政务发布平台本体[中国妇女报所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国妇女报所属党政机关
中国妇女网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻单位（19家）及其主管主办的报刊网站（67家）,主管主办的报刊网站（67家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国宁波网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国安全生产网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[应急管理部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,应急管理部
中国审计报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[审计署]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,审计署
中国山东网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国工业报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,否,❌ 主管单位[中国工业经济联合会]命中黑名单(高校/企业/社团)；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国工业经济联合会
中国工信新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[工业和信息化部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,工业和信息化部
中国工程院网站,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[中国工程院网站所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国工程院网站所属党政机关
中国市场监管报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家市场监督管理总局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家市场监督管理总局
中国市场监管新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家市场监督管理总局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家市场监督管理总局
中国常州网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国广西政府网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,省级政务发布平台（31家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国广西政府网所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国广西政府网所属党政机关
中国应急管理报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[应急管理部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,应急管理部
中国建设报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[住房和城乡建设部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,住房和城乡建设部
中国建设新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[住房和城乡建设部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,住房和城乡建设部
中国徐州网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国搜索,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻网站和重点理论网站（31家）,,是,✅ 主管单位[地方党委宣传部/网信办]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/网信办
中国改革报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家发展和改革委员会]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家发展和改革委员会
中国政协网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[中国政协网所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国政协网所属党政机关
中国政府网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国政府网所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国政府网所属党政机关
中国教育发布,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,应用程序,是,✅ 特殊豁免: 政务发布平台本体[中国教育发布所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国教育发布所属党政机关
中国教育报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 特殊豁免: 教育部/党媒主管教育类媒体[教育部]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,教育部
中国教育新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 特殊豁免: 教育部/党媒主管教育类媒体[教育部]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,教育部
中国教育网络电视台,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 特殊豁免: 教育部/党媒主管教育类媒体[教育部]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,教育部
中国文化报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[文化和旅游部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,文化和旅游部
中国文明网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻网站和重点理论网站（31家）,,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国文艺网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国文艺网所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国文艺网所属党政机关
中国新闻出版政务,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国新闻出版政务所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国新闻出版政务所属党政机关
中国新闻周刊,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻单位（19家）及其主管主办的报刊网站（67家）,主管主办的报刊网站（67家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻网站和重点理论网站（31家）,,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国旅游报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[文化和旅游部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,文化和旅游部
中国旅游新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[文化和旅游部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,文化和旅游部
中国日报网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻网站和重点理论网站（31家）,,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国林业杂志,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家林业和草原局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家林业和草原局
中国武警,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微博,是,✅ 特殊豁免: 政务发布平台本体[中国武警所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国武警所属党政机关
中国民政,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国民政所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国民政所属党政机关
中国民政杂志,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[民政部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,民政部
中国民族宗教网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家民族事务委员会]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家民族事务委员会
中国民族报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家民族事务委员会]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家民族事务委员会
中国民族网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家民族事务委员会]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家民族事务委员会
中国民用航空局,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,应用程序,是,✅ 特殊豁免: 政务发布平台本体[中国民用航空局所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国民用航空局所属党政机关
中国民航局网站,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[中国民航局网站所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国民航局网站所属党政机关
中国民航报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[中国民用航空局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国民用航空局
中国气象局,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国气象局所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国气象局所属党政机关
中国气象局网站,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[中国气象局网站所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国气象局网站所属党政机关
中国气象报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[中国气象局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国气象局
中国气象新闻网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[中国气象局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国气象局
中国水利,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国水利所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国水利所属党政机关
中国水利报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[水利部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,水利部
中国水利网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[水利部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,水利部
中国水运报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[交通运输部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,交通运输部
中国水运网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[交通运输部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,交通运输部
中国江苏网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国江西网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国汽车报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻单位（19家）及其主管主办的报刊网站（67家）,主管主办的报刊网站（67家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国汽车报网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻单位（19家）及其主管主办的报刊网站（67家）,主管主办的报刊网站（67家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国法院网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[最高人民法院]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,最高人民法院
中国消费网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 特殊豁免: 法定群团组织[中国消费者协会]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国消费者协会
中国消费者报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 特殊豁免: 法定群团组织[中国消费者协会]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国消费者协会
中国火炬杂志,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[科学技术部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,科学技术部
中国火箭军,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国火箭军所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国火箭军所属党政机关
中国煤炭报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家矿山安全监察局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家矿山安全监察局
中国环境报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[生态环境部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,生态环境部
中国环境网站,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[生态环境部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,生态环境部
中国甘肃网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,地方新闻网站和地方新闻单位（1086家）,地方新闻网站（513家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国电力报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家能源局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家能源局
中国画报网站,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻单位（19家）及其主管主办的报刊网站（67家）,主管主办的报刊网站（67家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国的航天,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国的航天所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国的航天所属党政机关
中国知识产权报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家知识产权局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家知识产权局
中国知识产权资讯网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[国家知识产权局]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,国家知识产权局
中国社会报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[民政部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,民政部
中国社会科学网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻网站和重点理论网站（31家）,,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
中国社会组织动态,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国社会组织动态所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国社会组织动态所属党政机关
中国社会组织政务服务平台,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[中国社会组织政务服务平台所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国社会组织政务服务平台所属党政机关
中国社科院网站,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[中国社科院网站所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国社科院网站所属党政机关
中国禁毒报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 主管单位[公安部]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,公安部
中国福建,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,省级政务发布平台（31家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国福建所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国福建所属党政机关
中国科协之声,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,公众账号-官方微信,是,✅ 特殊豁免: 政务发布平台本体[中国科协之声所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国科协之声所属党政机关
中国科协网站,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 政务发布平台本体[中国科协网站所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国科协网站所属党政机关
中国科学报,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等主管主办的报刊网站（122家）,主管主办的报刊网站（122家）,是,✅ 特殊豁免: 国家级科研事业单位[中国科学院]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国科学院
中国科学院网站,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央和国家机关、群团组织等政务发布平台（87家）,官方网站,是,✅ 特殊豁免: 国家级科研事业单位[中国科学院网站所属党政机关]；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,中国科学院网站所属党政机关
中国科技网,《互联网新闻信息稿源单位名单（截至2025 年6 月）》,中央新闻单位（19家）及其主管主办的报刊网站（67家）,主管主办的报刊网站（67家）,是,✅ 主管单位[地方党委宣传部/报业集团]属于政务/党媒体系；✅ 持有《互联网新闻信息采编发布服务许可证》；✅ 机构性质为机关/事业单位或100%国有全资,地方党委宣传部/报业集团
